eu_status,country,incident_count
EU Candidate Countries,Turkey,1507
EU Candidate Countries,Ukraine,995
EU Candidate Countries,Serbia,632
EU Candidate Countries,Georgia,283
EU Candidate Countries,Bosnia and Herzegovina,224
EU Candidate Countries,Albania,197
EU Candidate Countries,North Macedonia,182
EU Candidate Countries,Montenegro,107
EU Candidate Countries,Moldova,89
EU Member States,Germany,989
EU Member States,Italy,869
EU Member States,France,709
EU Member States,Hungary,456
EU Member States,Spain,442
EU Member States,Poland,366
EU Member States,Croatia,251
EU Member States,Greece,240
EU Member States,Romania,208
EU Member States,Netherlands,168
EU Member States,Bulgaria,133
EU Member States,Slovakia,130
EU Member States,Belgium,123
EU Member States,Malta,113
EU Member States,Slovenia,102
EU Member States,Finland,78
EU Member States,Sweden,71
EU Member States,Austria,59
EU Member States,Portugal,57
EU Member States,Czechia,47
EU Member States,Denmark,43
EU Member States,Cyprus,41
EU Member States,Latvia,40
EU Member States,Lithuania,38
EU Member States,Ireland,30
EU Member States,Estonia,21
EU Member States,Luxembourg,11
Non-EU Countries,Russia,582
Non-EU Countries,Belarus,291
Non-EU Countries,United Kingdom,172
Non-EU Countries,Azerbaijan,112
Non-EU Countries,Iceland,4
Non-EU Countries,Norway,4
Non-EU Countries,Switzerland,3
Non-EU Countries,Vatican City,3
Non-EU Countries,Denmark,1
Unknown,Kosovo,82
